City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
82,hawaiian paradise park,19.5933,-154.9731,26.6,81,100,3.09,US,1701203840
83,selfoss,63.9331,-20.9971,1.28,85,100,2.4,IS,1701203706
84,ambovombe,-25.1667,46.0833,23.25,91,8,1.35,MG,1701203843
85,rio grande,-32.035,-52.0986,25.06,84,44,6.5,BR,1701203844
86,moapa valley,36.5805,-114.4703,18.71,17,21,1.14,US,1701203846
87,illizi,26.4833,8.4667,15.89,22,44,1.21,DZ,1701203847
88,iqaluit,63.7506,-68.5145,-1.15,92,100,8.23,CA,1701203848
89,shitanjing,39.2342,106.3439,-10.35,40,0,1.84,CN,1701203850
90,hami,42.8,93.45,2.0,32,6,2.45,CN,1701203543
91,st. paul,44.9444,-93.0933,0.93,64,0,5.14,US,1701203852
92,azadshahr,34.7909,48.5707,1.27,80,0,2.06,IR,1701203854
93,nemuro,43.3236,145.575,0.58,66,45,12.84,JP,1701203855
94,bhamo,24.2667,97.2333,15.74,82,3,0.76,MM,1701203856
95,kismayo,-0.3582,42.5454,27.26,79,23,4.13,SO,1701203858
96,hadibu,12.65,54.0333,25.37,70,100,4.98,YE,1701203770
97,edinburgh of the seven seas,-37.0676,-12.3116,14.36,84,86,8.34,SH,1701203860
98,whitehorse,60.7161,-135.0538,-4.57,67,20,2.06,CA,1701203862
99,ugoofaaru,5.6667,73.0,28.25,73,100,3.84,MV,1701203864
100,callao,-12.0667,-77.15,21.16,73,40,6.17,PE,1701203865
101,carnarvon,-24.8667,113.6333,20.73,65,64,6.32,AU,1701203866
102,codrington,-38.2667,141.9667,14.87,90,100,9.47,AU,1701203868
103,antofagasta,-23.65,-70.4,19.6,72,30,4.84,CL,1701203869
104,lorengau,-2.0226,147.2712,27.36,79,100,1.35,PG,1701203870
105,kingston,17.997,-76.7936,27.89,78,75,4.63,JM,1701203872
106,touros,-5.1989,-35.4608,26.51,73,100,5.54,BR,1701203873
107,kavaratti,10.5669,72.642,28.57,74,79,3.48,IN,1701203875
108,kurchum,48.5722,83.6542,0.59,53,20,2.22,KZ,1701203876
109,i-n-salah,27.1935,2.4607,18.03,25,100,0.76,DZ,1701203877
110,cova figueira,14.8905,-24.2934,21.89,77,6,7.0,CV,1701203879
111,westport,41.1415,-73.3579,2.75,48,75,6.17,US,1701203880
112,invercargill,-46.4,168.35,10.01,73,89,4.92,NZ,1701203881
113,ghat,24.9647,10.1728,18.58,16,0,1.43,LY,1701203883
114,hasaki,35.7333,140.8333,3.22,35,0,0.63,JP,1701203884
115,arteche,12.2645,125.4048,26.37,90,100,4.48,PH,1701203885
116,tolanaro,-25.0319,46.9987,26.04,83,20,10.8,MG,1701203887
117,san matias,-16.3667,-58.4,27.46,69,98,2.42,BO,1701203888
118,thinadhoo,0.5333,72.9333,27.41,78,95,4.63,MV,1701203889
119,muhammadabad,25.6333,83.75,18.37,65,5,2.17,IN,1701203891
120,laguna,38.421,-121.4238,18.99,40,0,2.06,US,1701203892
121,papatowai,-46.5619,169.4708,10.08,57,92,5.88,NZ,1701203893
122,udachny,66.4167,112.4,-17.53,84,100,9.86,RU,1701203895
123,kikwit,-5.041,18.8162,20.55,98,49,0.12,CD,1701203896
124,georgetown,5.4112,100.3354,25.96,86,20,1.54,MY,1701203691
125,sinabang,2.4803,96.3801,26.33,85,100,4.01,ID,1701203899
126,hobyo,5.3505,48.5268,26.98,73,94,7.54,SO,1701203900
127,mpanda,-6.3655,31.0409,18.57,97,55,0.56,TZ,1701203901
128,susel,54.0667,10.7167,-2.28,80,100,2.6,DE,1701203903
129,lodwar,3.1191,35.5973,29.52,39,67,4.14,KE,1701203904
130,saint-louis,16.3333,-15.0,27.83,14,4,4.51,SN,1701203906
131,port elizabeth,-33.918,25.5701,17.4,89,100,11.83,ZA,1701203412
132,mata-utu,-13.2816,-176.1745,28.49,78,100,9.67,WF,1701203908
133,lata,40.1629,-8.3327,16.56,94,91,2.13,PT,1701203910
134,turabah,21.2141,41.6331,22.93,23,0,5.03,SA,1701203911
135,bijie,27.3125,105.2942,10.43,95,100,1.81,CN,1701203912
136,miri,4.4148,114.0089,25.08,94,40,4.12,MY,1701203914
137,simanggang,1.2472,111.4528,22.99,100,82,0.0,MY,1701203915
138,cestos city,5.46,-9.5828,26.39,83,100,1.64,LR,1701203916
139,ilhabela,-23.7781,-45.3581,23.81,96,100,3.42,BR,1701203918
140,port lincoln,-34.7333,135.8667,15.63,86,62,7.85,AU,1701203906
141,andergrove,-21.0833,149.1833,24.8,85,2,5.38,AU,1701203920
142,saranac lake,44.3295,-74.1313,-3.95,77,100,4.63,US,1701203922
143,opuwo,-18.0607,13.84,25.04,56,99,3.2,NA,1701203421
144,san pedro,14.35,121.0167,25.73,96,75,3.58,PH,1701203924
145,champasak,14.75,106.0,18.37,82,100,0.26,LA,1701203926
146,ha'il,27.5219,41.6907,14.01,62,0,2.06,SA,1701203927
147,utrik,11.2278,169.8474,27.24,78,98,9.01,MH,1701203928
148,luocheng,29.3848,104.0286,14.69,74,100,1.76,CN,1701203930
149,yeed,4.55,43.0333,26.76,56,26,3.69,SO,1701203931
150,ulladulla,-35.35,150.4667,19.87,96,100,9.57,AU,1701203932
151,amahai,-3.3333,128.9167,25.29,83,100,1.81,ID,1701203934
152,grand falls-windsor,48.9332,-55.6649,9.72,94,100,5.36,CA,1701203935
153,thal,35.4791,72.2439,3.67,70,15,2.86,PK,1701203936
154,mili,6.0815,171.735,27.81,80,100,9.09,MH,1701203938
155,uturoa,-16.7333,-151.4333,27.03,79,58,8.63,PF,1701203940
156,saint joseph,39.7686,-94.8466,5.7,59,0,4.63,US,1701203944
157,puerto ayora,-0.7393,-90.3518,27.98,95,79,5.36,EC,1701203946
158,mossel bay,-34.1831,22.146,17.29,69,42,6.81,ZA,1701203947
159,happy valley-goose bay,53.3168,-60.3315,3.17,87,100,0.0,CA,1701203948
160,xinyuan,37.3,99.0,-7.89,33,66,2.6,CN,1701203950
161,dabou,5.3256,-4.3769,26.44,82,66,3.94,CI,1701203951
162,tsiombe,-25.3,45.4833,24.3,88,55,4.94,MG,1701203952
163,kurtamysh,54.9103,64.4319,1.98,79,100,5.36,RU,1701203954
164,alaghsas,17.0187,8.0168,26.6,20,20,3.98,NE,1701203955
165,bhimunipatnam,17.8833,83.4333,22.73,83,86,3.15,IN,1701203956
166,minas de marcona,-15.2119,-75.1103,18.44,64,4,8.19,PE,1701203522
167,flying fish cove,-10.4217,105.6791,25.61,69,97,7.43,CX,1701203959
168,nizhniy odes,63.6445,54.856,-12.49,93,70,2.75,RU,1701203960
169,nar'yan-mar,67.6713,53.087,-17.16,95,100,4.92,RU,1701203962
170,nishinoomote,30.7333,131.0,16.8,62,6,7.73,JP,1701203963
171,kassala,15.451,36.4,25.48,62,0,5.12,SD,1701203964
172,mersing,2.4312,103.8405,24.95,94,40,2.06,MY,1701203966
173,jabat,7.75,168.9751,27.92,75,85,9.4,MH,1701203967
174,rabaul,-4.1967,152.1721,26.74,80,41,0.99,PG,1701203968
175,cartagena,10.3997,-75.5144,31.79,70,20,4.63,CO,1701203731
176,christchurch,-43.5333,172.6333,12.11,63,75,6.17,NZ,1701203365
177,kapa'a,22.0752,-159.319,22.18,88,100,4.12,US,1701203564
178,puerto baquerizo moreno,-0.9,-89.6,28.55,79,75,6.17,EC,1701203973
179,newman,37.3138,-121.0208,18.49,10,0,2.29,US,1701203975
180,bengkulu,-3.8004,102.2655,23.66,94,100,1.12,ID,1701203976
181,isfana,39.8386,69.5306,0.31,32,100,3.5,KG,1701203977
182,shobara,34.85,133.0167,5.34,83,75,1.23,JP,1701203979
183,ribeira grande,38.5167,-28.7,19.32,94,75,8.23,PT,1701203980
184,rongelap,11.1635,166.8941,27.41,77,88,9.2,MH,1701203982
185,praia da vitoria,38.7333,-27.0667,18.75,100,75,5.58,PT,1701203983
186,al ghayzah,16.2079,52.176,25.19,67,83,1.26,YE,1701203984
